4weekperiod;sales
1995.01;153
1995.02;189
1995.03;221
1995.04;215
1995.05;302
1995.06;223
1995.07;201
1995.08;173
1995.09;121
1995.10;106
1995.11;086
1995.12;087
1995.13;108
1996.01;133
1996.02;177
1996.03;241
1996.04;228
1996.05;283
1996.06;255
1996.07;238
1996.08;164
1996.09;128
1996.10;108
1996.11;087
1996.12;074
1996.13;095
1997.01;145
1997.02;200
1997.03;187
1997.04;201
1997.05;292
1997.06;220
1997.07;233
1997.08;172
1997.09;119
1997.10;081
1997.11;065
1997.12;076
1997.13;074
1998.01;111
1998.02;170
1998.03;243
1998.04;178
1998.05;248
1998.06;202
1998.07;163
1998.08;139
1998.09;120
1998.10;096
1998.11;095
1998.12;053
1998.13;094
