date,DJ.industrial.average,DJ.industrial.total.return.index
29-may1-896,40.63,
30-jun1-896,36.15,
31-jul-1896,32.02,
31-aug-1896,31.97,
30-sep-1896,36.05,
30-oct-1896,39.4,51.42
30-nov-1896,41,52.76
31-dec-1896,40.45,51.33
29-jan-1897,42.06,52.77
26-feb-1897,41.29,52.83
31-mar-1897,39.47,49.77
30-apr-1897,38.96,49.21
28-may-1897,39.64,50.74
30-jun-1897,44.1,54.61
30-jul-1897,47.95,57.92
31-aug-1897,54.81,63.81
30-sep-1897,50.98,62.3
29-oct-1897,48.81,60.71
30-nov-1897,47.46,60.22
31-dec-1897,49.41,62.29
31-jan-1898,50.01,66.17
28-feb-1898,46.17,61.93
31-mar-1898,45.42,59.67
29-apr-1898,45.75,58.26
31-may-1898,52.74,66.33
30-jun-1898,52.62,65.14
29-jul-1898,54.02,65.73
31-aug-1898,60.35,68.59
30-sep-1898,53.44,66.2
31-oct-1898,55.43,66.74
30-nov-1898,57.2,71.2
30-dec-1898,60.52,74.99
31-jan-1899,64.35,81.63
28-feb-1899,66.78,82.9
30-mar-1899,74.33,86.26
28-apr-1899,77.1,85.68
31-may-1899,67.51,77.51
30-jun-1899,70.38,83.27
31-jul-1899,73.73,84.83
31-aug-1899,75.66,84.93
28-sep-1899,72.87,80.93
31-oct-1899,74.97,83.38
29-nov-1899,75.55,83.35
29-dec-1899,65.73,77.36
31-Jan-1900,66.13,78.08
30-Mar-1900,65.39,82.08
30-Apr-1900,61.33,79.51
31-May-1900,59.1,79.15
29-Jun-1900,54.83,74.36
31-Jul-1900,56.8,75.95
31-Aug-1900,57.81,77.13
28-Sep-1900,54.14,74.83
31-Oct-1900,59.04,79.55
30-Nov-1900,66.59,88.88
31-Dec-1900,70.71,94.99
31-Jan-1901,66.81,97.16
28-Feb-1901,67,97.34
29-Mar-1901,69.43,104.54
30-Apr-1901,75.8,116.35
31-May-1901,75.77,112.15
28-Jun-1901,76.47,116.39
31-Jul-1901,71.63,107.39
30-Aug-1901,73.47,111.54
30-Sep-1901,66.66,108.21
31-Oct-1901,64.45,110.79
29-Nov-1901,65.68,114.57
31-Dec-1901,64.56,114.85
31-Jan-1902,64.95,114.19
28-Feb-1902,64.81,113.65
31-Mar-1902,67.19,116.08
30-Apr-1902,67.01,121.26
29-May-1902,66.42,119.32
30-Jun-1902,64.31,120.38
31-Jul-1902,65.82,125.85
29-Aug-1902,66.28,127.23
30-Sep-1902,66.15,124.78
31-Oct-1902,66.05,121.68
28-Nov-1902,62.14,117.78
31-Dec-1902,64.29,118.98
30-Jan-1903,64.96,118.86
27-Feb-1903,66.16,115.19
31-Mar-1903,63.64,109.98
30-Apr-1903,63.78,108.86
29-May-1903,60.27,103.78
30-Jun-1903,59.08,103.67
31-Jul-1903,50.76,96.48
31-Aug-1903,53.19,98.05
30-Sep-1903,45.8,89.75
30-Oct-1903,44.82,92.66
30-Nov-1903,44.33,93.83
31-Dec-1903,49.11,98.33
29-Jan-1904,49.11,98.06
29-Feb-1904,47.53,92.28
31-Mar-1904,49.12,96.49
29-Apr-1904,48.9,96.14
31-May-1904,48.18,94.36
30-Jun-1904,49.25,97.32
29-Jul-1904,52.12,100.81
31-Aug-1904,54.57,105.22
30-Sep-1904,57.59,108.78
31-Oct-1904,63.03,113.36
30-Nov-1904,72.02,118.93
30-Dec-1904,70.05,117.9
31-Jan-1905,71.33,121.05
28-Feb-1905,75.15,123.78
31-Mar-1905,80.02,124.89
28-Apr-1905,77.87,120.48
31-May-1905,74.32,119.3
30-Jun-1905,76.87,122.57
31-Jul-1905,81.7,126.28
31-Aug-1905,80.63,129.57
29-Sep-1905,81.39,131.38
31-Oct-1905,83.77,132.33
29-Nov-1905,89.89,131.34
29-Dec-1905,96.56,133.54
31-Jan-1906,100.69,135.34
28-Feb-1906,93.94,129.56
30-Mar-1906,96.6,132.7
30-Apr-1906,90.53,124.06
31-May-1906,93.75,128.61
29-Jun-1906,87.29,123.91
31-Jul-1906,92.41,129.11
31-Aug-1906,94.01,135.2
28-Sep-1906,94.98,135.89
31-Oct-1906,92.91,131.37
30-Nov-1906,95.12,136.01
31-Dec-1906,94.35,129.8
31-Jan-1907,91.7,122.25
28-Feb-1907,90.54,118.68
29-Mar-1907,80.15,105.85
30-Apr-1907,84.3,109.97
31-May-1907,78.1,100.92
28-Jun-1907,80,103.77
31-Jul-1907,78.87,105.26
30-Aug-1907,72.28,97.83
30-Sep-1907,67.72,98.35
31-Oct-1907,57.7,84.02
29-Nov-1907,57.51,85.8
31-Dec-1907,58.75,88.77
31-Jan-1908,62.7,92.19
28-Feb-1908,61.07,87.36
31-Mar-1908,67.51,92
30-Apr-1908,69.55,96.95
29-May-1908,72.76,99.14
30-Jun-1908,72.59,99.88
31-Jul-1908,80.34,106.76
31-Aug-1908,84.66,109.1
30-Sep-1908,79.93,105.95
30-Oct-1908,82.92,110.16
30-Nov-1908,87.3,117.1
31-Dec-1908,86.15,120.05
29-Jan-1909,84.62,117.81
26-Feb-1909,81.34,116.21
31-Mar-1909,86.12,121.64
30-Apr-1909,88.29,123.45
28-May-1909,92.18,125.51
30-Jun-1909,92.28,127.15
30-Jul-1909,96.17,130.95
31-Aug-1909,97.9,130.7
30-Sep-1909,99.55,132.31
29-Oct-1909,98.97,129.84
30-Nov-1909,96.02,126.05
31-Dec-1909,99.05,130.41
31-Jan-1910,91.91,122.73
28-Feb-1910,91.34,123.55
31-Mar-1910,89.71,121.83
29-Apr-1910,87.17,119.61
31-May-1910,86.32,119.62
30-Jun-1910,81.18,111.63
29-Jul-1910,77.57,110.18
31-Aug-1910,79.68,112.1
30-Sep-1910,79.72,114.45
31-Oct-1910,84.77,116.76
30-Nov-1910,82.52,113.19
30-Dec-1910,81.41,114.11
31-Jan-1911,84.93,118.82
28-Feb-1911,85.02,117.34
31-Mar-1911,83.27,117.71
28-Apr-1911,83.31,117.66
31-May-1911,85.55,120.55
30-Jun-1911,85.98,122.77
31-Jul-1911,86.02,123
31-Aug-1911,79.25,112.91
29-Sep-1911,75.15,110.51
31-Oct-1911,75.79,114.46
29-Nov-1911,80.97,117.24
29-Dec-1911,81.58,116.57
31-Jan-1912,80.19,115.06
29-Feb-1912,81.4,115.73
29-Mar-1912,88.23,119.15
30-Apr-1912,90.3,121.58
31-May-1912,88.01,118.37
28-Jun-1912,91.09,119.91
31-Jul-1912,89.71,120.67
30-Aug-1912,91.57,122.24
30-Sep-1912,94.15,123.95
31-Oct-1912,90.71,120.38
29-Nov-1912,91.26,120.44
31-Dec-1912,87.87,116.84
31-Jan-1913,83.72,115.49
28-Feb-1913,80.32,110.94
31-Mar-1913,80.92,111.69
30-Apr-1913,78.54,107.75
29-May-1913,78.38,107.41
30-Jun-1913,74.89,103.61
31-Jul-1913,78.48,105.77
29-Aug-1913,81.81,107.14
30-Sep-1913,80.37,107.01
31-Oct-1913,78.3,104.05
